ID1	ID2	ID5	ID18	ID14	IDA	IDB
PD44720_31	0.288365652294283	0.0607966494074592	0.650837698298258	0	0	0	0
PD44720_5	0.548143156702867	0.131377847406026	0.320478995891107	0	0	0	0
PD44720_40	0.357618288054341	0.0929009244613281	0.549480787484331	0	0	0	0
PD44720_49	0.62975737727148	0.0992093075238366	0.271033315204683	0	0	0	0
PD44720_21	0.595310496198835	0.204243620425429	0.200445883375736	0	0	0	0
PD44720_63	0.309796918127643	0.274675468929455	0.415527612942903	0	0	0	0
PD44720_35	0.326095989310183	0.106809675573933	0.567094335115884	0	0	0	0
PD44720_23	0.506210156340708	0.292889105657372	0.20090073800192	0	0	0	0
PD44720_28	0.262062963605859	0.0970873500906825	0.640849686303459	0	0	0	0
PD44720_19	0.342505657059928	0	0.657494342940072	0	0	0	0
PD44720_48	0.550232615363195	0.255311210426354	0.194456174210451	0	0	0	0
PD44720_32	0.340255169931395	0.0860067517336628	0.573738078334942	0	0	0	0
PD44720_20	0.378067444749692	0.122201190720102	0.499731364530205	0	0	0	0
PD44720_47	0.43026346195539	0.0920571056722696	0.47767943237234	0	0	0	0
PD44720_36	0.293911642159013	0.0859270659375826	0.620161291903405	0	0	0	0
PD44720_22	0.462646901842618	0.353385078923722	0.183968019233661	0	0	0	0
PD44720_11	0.333895321239651	0.18508257700834	0.481022101752008	0	0	0	0
PD44720_79	0.549964094984101	0.185589122496949	0.26444678251895	0	0	0	0
PD44720_29	0.369128466092571	0.235790345963865	0.395081187943564	0	0	0	0
PD44720_16	0.190995725524178	0.163081340307138	0.645922934168684	0	0	0	0
PD44720_13	0.165098188116691	0.198915328205407	0.422128769931711	0.213857713746191	0	0	0
PD44720_34	0.319858702459436	0.181406999448052	0.498734298092512	0	0	0	0
PD44721_56	0.570381153780491	0.334055155054984	0.0955636911645247	0	0	0	0
PD44721_18	0.513959003603872	0.344774326432235	0.141266669963892	0	0	0	0
PD44721_54	0.6045661500144	0.276131932262287	0.119301917723312	0	0	0	0
PD44721_31	0.558108309878667	0.274075120876564	0.167816569244769	0	0	0	0
PD44721_3	0.382907072334239	0.0880267431380141	0.529066184527747	0	0	0	0
