parent,node,branch.length,label,isTip,x,y,branch,angle
13,1,2001,PD36814d5,TRUE,2007,4,1006.5,130.909090909091
16,2,1737,PD36814d6,TRUE,1754,6,885.5,196.363636363636
16,3,1720,PD36814d7,TRUE,1737,7,877,229.090909090909
15,4,1633,PD37265d8,TRUE,1640,5,823.5,163.636363636364
18,5,1401,PD37226c5,TRUE,1433,9,732.5,294.545454545455
19,6,1992,PD37226c7,TRUE,2034,10,1038,327.272727272727
19,7,1877,PD37226c8,TRUE,1919,11,980.5,360
17,8,1623,PD37226c6,TRUE,1654,8,842.5,261.818181818182
20,9,1930,PD36814d8,TRUE,1932,1,967,32.7272727272727
21,10,1746,PD37265d,TRUE,1769,2,896,65.4545454545455
21,11,1741,PD37265d5,TRUE,1764,3,893.5,98.1818181818182
12,12,0,,FALSE,0,3.703125,0,121.193181818182
12,13,6,50,FALSE,6,5.65625,3,185.113636363636
13,14,1,17,FALSE,7,7.3125,6.5,239.318181818182
14,15,0,15,FALSE,7,5.75,7,188.181818181818
15,16,10,100,FALSE,17,6.5,12,212.727272727273
14,17,24,100,FALSE,31,8.875,19,290.454545454545
17,18,1,99,FALSE,32,9.75,31.5,319.090909090909
18,19,10,100,FALSE,42,10.5,37,343.636363636364
12,20,2,84,FALSE,2,1.75,1,57.2727272727273
20,21,21,100,FALSE,23,2.5,12.5,81.8181818181818
