parent,node,branch.length,label,isTip,x,y,branch,angle
25,1,4141,PD37449c_lo0001,TRUE,4159,11,2088.5,198
25,2,3226,PD37449c_lo0014,TRUE,3244,12,1631,216
26,3,332,PD37449e_lo0014,TRUE,2042,13,1876,234
26,4,47,PD37449e_lo0015,TRUE,1757,14,1733.5,252
28,5,2534,PD37449d_lo0001,TRUE,2548,15,1281,270
28,6,2883,PD37449d_lo0017,TRUE,2897,16,1455.5,288
30,7,520,PD37449e_lo0001,TRUE,2318,17,2058,306
30,8,643,PD37449e_lo0002,TRUE,2441,18,2119.5,324
31,9,1520,PD37449e_lo0003,TRUE,3204,19,2444,342
31,10,1587,PD37449e_lo0004,TRUE,3271,20,2477.5,360
33,11,3243,PD37449c_lo0009,TRUE,3249,4,1627.5,72
33,12,2988,PD37449c_lo0017,TRUE,2994,5,1500,90
35,13,2572,PD37449d_lo0006,TRUE,2572,8,1286,144
36,14,893,PD37449e_lo0006,TRUE,896,9,449.5,162
36,15,2853,PD37449e_lo0010,TRUE,2856,10,1429.5,180
37,16,1146,PD37449d_lo0011,TRUE,1181,6,608,108
37,17,835,PD37449d_lo0012,TRUE,870,7,452.5,126
39,18,2696,PD37449d_lo0002,TRUE,2721,2,1373,36
39,19,2518,PD37449d_lo0003,TRUE,2543,3,1284,54
38,20,3545,PD37449e_lo0008,TRUE,3546,1,1773.5,18
21,21,0,,FALSE,0,6.078125,0,109.40625
21,22,0,11,FALSE,0,10.40625,0,187.3125
22,23,0,3,FALSE,0,14.75,0,265.5
23,24,7,100,FALSE,7,12.5,3.5,225
24,25,11,100,FALSE,18,11.5,12.5,207
24,26,1703,100,FALSE,1710,13.5,858.5,243
23,27,1,8,FALSE,1,17,0.5,306
27,28,13,100,FALSE,14,15.5,7.5,279
27,29,983,100,FALSE,984,18.5,492.5,333
29,30,814,100,FALSE,1798,17.5,1391,315
29,31,700,100,FALSE,1684,19.5,1334,351
22,32,0,1,FALSE,0,6.0625,0,109.125
32,33,6,100,FALSE,6,4.5,3,81
32,34,0,1,FALSE,0,7.625,0,137.25
34,35,0,5,FALSE,0,8.75,0,157.5
35,36,3,100,FALSE,3,9.5,1.5,171
34,37,35,100,FALSE,35,6.5,17.5,117
21,38,1,92,FALSE,1,1.75,0.5,31.5
38,39,24,100,FALSE,25,2.5,13,45
