parent,node,branch.length,label,isTip,x,y,branch,angle
13,1,1285,PD37513a13,TRUE,1314,6,671.5,270
14,2,1639,PD37513a20,TRUE,1942,7,1122.5,315
14,3,1617,PD37513a21,TRUE,1920,8,1111.5,360
12,4,1925,PD37513b8,TRUE,1934,5,971.5,225
15,5,787,PD37513b5,TRUE,801,3,407.5,135
15,6,1931,PD37513b7,TRUE,1945,4,979.5,180
10,7,2843,PD37513a2,TRUE,2852,2,1430.5,90
9,8,2734,PD37513a3,TRUE,2734,1,1367,45
9,9,0,,FALSE,0,2.171875,0,97.734375
9,10,9,61,FALSE,9,3.34375,4.5,150.46875
10,11,0,16,FALSE,9,4.6875,9,210.9375
11,12,0,52,FALSE,9,5.875,9,264.375
12,13,20,100,FALSE,29,6.75,19,303.75
13,14,274,100,FALSE,303,7.5,166,337.5
11,15,5,99,FALSE,14,3.5,11.5,157.5
