parent,node,branch.length,label,isTip,x,y,branch,angle
14,1,1677,PD36814e5,TRUE,3038,8,2199.5,320
14,2,1848,PD36814e7,TRUE,3209,9,2285,360
13,3,3121,PD36814e6,TRUE,3163,7,1602.5,280
12,4,3095,PD36814e8,TRUE,3128,6,1580.5,240
16,5,1017,PD37226d4,TRUE,1319,4,810.5,160
16,6,630,PD37226d5,TRUE,932,5,617,200
15,7,1197,PD37226d6,TRUE,1223,3,624.5,120
17,8,2764,PD37265e,TRUE,2772,1,1390,40
17,9,3138,PD37265e5,TRUE,3146,2,1577,80
10,10,0,,FALSE,0,3.40625,0,136.25
10,11,15,94,FALSE,15,5.3125,7.5,212.5
11,12,18,100,FALSE,33,6.875,24,275
12,13,9,100,FALSE,42,7.75,37.5,310
13,14,1319,100,FALSE,1361,8.5,701.5,340
11,15,11,100,FALSE,26,3.75,20.5,150
15,16,276,100,FALSE,302,4.5,164,180
10,17,8,97,FALSE,8,1.5,4,60
