parent,node,branch.length,label,isTip,x,y,branch,angle
13,1,2208,PD36813ab10,TRUE,2234,7,1130,315
13,2,2147,PD36813ab5,TRUE,2173,8,1099.5,360
12,3,1958,PD36813ab4,TRUE,1984,6,1005,270
11,4,2285,PD36813i6,TRUE,2290,5,1147.5,225
14,5,1882,PD36813q11,TRUE,1896,3,955,135
14,6,2143,PD36813q14,TRUE,2157,4,1085.5,180
15,7,2762,PD36813i,TRUE,2773,1,1392,45
15,8,2084,PD36813i4,TRUE,2095,2,1053,90
9,9,0,,FALSE,0,3.09375,0,139.21875
9,10,5,21,FALSE,5,4.6875,2.5,210.9375
10,11,0,14,FALSE,5,5.875,5,264.375
11,12,21,100,FALSE,26,6.75,15.5,303.75
12,13,0,32,FALSE,26,7.5,26,337.5
10,14,9,100,FALSE,14,3.5,9.5,157.5
9,15,11,100,FALSE,11,1.5,5.5,67.5
