parent,node,branch.length,label,isTip,x,y,branch,angle
10,1,1856,PD37226k2,TRUE,1886,4,958,205.714285714286
12,2,1794,PD37226k5,TRUE,1843,6,946,308.571428571429
12,3,2031,PD37226k8,TRUE,2080,7,1064.5,360
11,4,2070,PD37226k6,TRUE,2107,5,1072,257.142857142857
13,5,2492,PD37457f4,TRUE,2515,2,1269,102.857142857143
13,6,1346,PD37457f7,TRUE,1369,3,696,154.285714285714
8,7,3092,PD37457e6,TRUE,3092,1,1546,51.4285714285714
8,8,0,,FALSE,0,2.34375,0,120.535714285714
8,9,8,67,FALSE,8,3.6875,4,189.642857142857
9,10,22,100,FALSE,30,4.875,19,250.714285714286
10,11,7,100,FALSE,37,5.75,33.5,295.714285714286
11,12,12,100,FALSE,49,6.5,43,334.285714285714
9,13,15,100,FALSE,23,2.5,15.5,128.571428571429
