parent,node,branch.length,label,isTip,x,y,branch,angle
13,1,1718,PD36719a_lo005,TRUE,1720,6,861,240
13,2,2106,PD36719a_lo008,TRUE,2108,7,1055,280
14,3,3869,PD36719a_lo034,TRUE,3893,8,1958.5,320
14,4,4133,PD36719a_lo048,TRUE,4157,9,2090.5,360
15,5,2430,PD36719a_lo049,TRUE,2432,3,1217,120
16,6,2698,PD36719a_lo066,TRUE,2713,4,1364,160
16,7,2342,PD36719a_lo072,TRUE,2357,5,1186,200
17,8,3226,PD36719a_lo018,TRUE,3233,1,1620,40
17,9,3003,PD36719a_lo022,TRUE,3010,2,1508.5,80
10,10,0,,FALSE,0,3.5625,0,142.5
10,11,2,40,FALSE,2,5.625,1,225
11,12,0,10,FALSE,2,7.5,2,300
12,13,0,45,FALSE,2,6.5,2,260
12,14,22,100,FALSE,24,8.5,13,340
11,15,0,16,FALSE,2,3.75,2,150
15,16,13,100,FALSE,15,4.5,8.5,180
10,17,7,100,FALSE,7,1.5,3.5,60
